fish_id,type,mode,ramping,resolution,orientation,fish_length,length_4,width,length_1,length_2,length_3,length_PVA,SNR,KRM
M07,MAC,FM,fast,standardres,ventral,30,NaN,3.7,30,NaN,26.7,NaN,-360.7462149,0
M07,MAC,FM,slow,standardres,ventral,30,NaN,3.7,30,NaN,26.7,NaN,15.05596373,0
M10,MAC,FM,fast,standardres,ventral,35.6,NaN,4.6,35.6,32.3,31.1,NaN,15.18249445,0
M10,MAC,FM,slow,standardres,ventral,35.6,NaN,4.6,35.6,32.3,31.1,NaN,15.42156507,0
M11,MAC,FM,fast,standardres,ventral,27.3,NaN,3.4,27.3,24.7,24.1,NaN,15.58922444,0
M11,MAC,FM,slow,standardres,ventral,27.3,NaN,3.4,27.3,24.7,24.1,NaN,17.60642975,0
M12,MAC,FM,fast,standardres,ventral,37.5,NaN,4.8,37.5,34.2,33.1,NaN,15.22141476,0
M12,MAC,FM,slow,standardres,ventral,37.5,NaN,4.8,37.5,34.2,33.1,NaN,NaN,0
M14,MAC,FM,fast,standardres,ventral,28.1,NaN,3.2,28.1,25.1,24.3,NaN,15.55101956,0
M14,MAC,FM,slow,standardres,ventral,28.1,NaN,3.2,28.1,25.1,24.3,NaN,15.79331542,0
M15,MAC,FM,fast,standardres,ventral,46.5,NaN,6.6,46.5,42.1,40.8,NaN,15.76246799,0
M15,MAC,FM,slow,standardres,ventral,46.5,NaN,6.6,46.5,42.1,40.8,NaN,15.81790413,0
M17,MAC,FM,fast,standardres,ventral,43.6,NaN,6,43.6,39.4,37.9,NaN,15.77990364,0
M17,MAC,FM,slow,standardres,ventral,43.6,NaN,6,43.6,39.4,37.9,NaN,15.62082471,0
M18,MAC,FM,fast,standardres,ventral,37.8,NaN,4.7,37.8,34.3,33.2,NaN,15.56322942,0
M18,MAC,FM,slow,standardres,ventral,37.8,NaN,4.7,37.8,34.3,33.2,NaN,15.67818075,0
M19,MAC,FM,fast,standardres,ventral,29.1,NaN,3.4,29.1,26.6,25.7,NaN,16.70629216,0
M19,MAC,FM,slow,standardres,ventral,29.1,NaN,3.4,29.1,26.6,25.7,NaN,16.25965645,0
M20,MAC,FM,fast,standardres,ventral,31.9,NaN,4.5,31.9,29,28.1,NaN,15.64254184,0
M20,MAC,FM,slow,standardres,ventral,31.9,NaN,4.5,31.9,29,28.1,NaN,15.74090644,0
M21,MAC,FM,fast,standardres,ventral,36.4,NaN,4.7,36.4,33.1,31.8,NaN,15.68119052,0
M21,MAC,FM,slow,standardres,ventral,36.4,NaN,4.7,36.4,33.1,31.8,NaN,15.1536532,0
M22,MAC,FM,fast,standardres,ventral,45.5,NaN,6.4,45.5,41.3,39.5,NaN,15.25581994,0
M22,MAC,FM,slow,standardres,ventral,45.5,NaN,6.4,45.5,41.3,39.5,NaN,15.32287778,0
M23,MAC,FM,fast,standardres,ventral,28.4,NaN,3.4,28.4,25.9,25.1,NaN,16.16347423,0
M23,MAC,FM,slow,standardres,ventral,28.4,NaN,3.4,28.4,25.9,25.1,NaN,16.28822877,0
P01,POK,FM,fast,standardres,ventral,33,29.2,3.5,33,29.7,27.8,NaN,17.6846389,1
P01,POK,FM,slow,standardres,ventral,33,29.2,3.5,33,29.7,27.8,NaN,19.10273521,1
P02,POK,FM,fast,standardres,ventral,26.6,23.5,2.7,26.6,24.1,22.2,NaN,17.10452671,1
P02,POK,FM,slow,standardres,ventral,26.6,23.5,2.7,26.6,24.1,22.2,NaN,19.01169884,1
P03,POK,FM,fast,standardres,ventral,39.2,35,3.9,39.2,36,32.7,NaN,17.74321927,1
P03,POK,FM,slow,standardres,ventral,39.2,35,3.9,39.2,36,32.7,NaN,19.03547776,1
P04,POK,FM,fast,standardres,ventral,37.1,33.2,3.8,37.1,34.2,31.2,NaN,17.54877932,1
P04,POK,FM,slow,standardres,ventral,37.1,33.2,3.8,37.1,34.2,31.2,NaN,19.3099935,1
P05,POK,FM,fast,standardres,ventral,26.2,23.1,2.5,26.2,23.9,21.8,NaN,17.29555143,0
P05,POK,FM,slow,standardres,ventral,26.2,23.1,2.5,26.2,23.9,21.8,NaN,19.54680731,0
S01,SAI,FM,fast,standardres,ventral,47,NaN,6,47,43.3,40,NaN,17.95639388,1
S01,SAI,FM,slow,standardres,ventral,47,NaN,6,47,43.3,40,NaN,NaN,1
S02,SAI,FM,fast,standardres,ventral,43.4,NaN,6.4,43.4,39.3,36.4,NaN,18.54027772,1
S02,SAI,FM,slow,standardres,ventral,43.4,NaN,6.4,43.4,39.3,36.4,NaN,22.18251187,1
S03,SAI,FM,fast,standardres,ventral,45.4,NaN,7,45.4,41.5,38,NaN,17.3595615,1
S03,SAI,FM,slow,standardres,ventral,45.4,NaN,7,45.4,41.5,38,NaN,NaN,1
S04,SAI,FM,fast,standardres,ventral,47.5,NaN,6.7,47.5,43.4,40.1,NaN,17.22368057,1
S04,SAI,FM,slow,standardres,ventral,47.5,NaN,6.7,47.5,43.4,40.1,NaN,17.85686845,1
S05,SAI,FM,fast,standardres,ventral,45.4,NaN,6.2,45.4,41.2,37.4,NaN,17.53496638,1
S05,SAI,FM,slow,standardres,ventral,45.4,NaN,6.2,45.4,41.2,37.4,NaN,18.58815753,1
S06,SAI,FM,fast,standardres,ventral,46.5,NaN,6,46.5,42.2,39,NaN,18.35259206,1
S06,SAI,FM,slow,standardres,ventral,46.5,NaN,6,46.5,42.2,39,NaN,19.14266059,1
S07,SAI,FM,fast,standardres,ventral,43.5,39.6,5,43.5,40.2,36.4,NaN,17.43158694,1
S07,SAI,FM,slow,standardres,ventral,43.5,39.6,5,43.5,40.2,36.4,NaN,19.43847276,1
S08,SAI,FM,fast,standardres,ventral,41.3,37.6,5.4,41.3,38.1,34.3,NaN,17.58596762,1
S08,SAI,FM,slow,standardres,ventral,41.3,37.6,5.4,41.3,38.1,34.3,NaN,19.55366675,1
S09,SAI,FM,fast,standardres,ventral,46.5,42.1,6.8,46.5,42.6,38.6,NaN,17.53731682,1
S09,SAI,FM,slow,standardres,ventral,46.5,42.1,6.8,46.5,42.6,38.6,NaN,18.37022092,1
S10,SAI,FM,fast,standardres,ventral,45.1,41.2,5.5,45.1,42.2,38.4,NaN,17.10617795,0
S10,SAI,FM,slow,standardres,ventral,45.1,41.2,5.5,45.1,42.2,38.4,NaN,17.98507591,0
S11,SAI,FM,fast,standardres,ventral,42.2,38,5.8,42.2,39,35.5,NaN,19.11304776,0
S11,SAI,FM,slow,standardres,ventral,42.2,38,5.8,42.2,39,35.5,NaN,19.9872657,0
S12,SAI,FM,fast,standardres,dorsal,49.4,45.1,6.4,49.4,46.1,41.3,NaN,17.53779498,0
S12,SAI,FM,fast,standardres,ventral,49.4,45.1,6.4,49.4,46.1,41.3,NaN,16.98470507,0
S12,SAI,FM,slow,standardres,dorsal,49.4,45.1,6.4,49.4,46.1,41.3,NaN,19.10092036,0
S12,SAI,FM,slow,standardres,ventral,49.4,45.1,6.4,49.4,46.1,41.3,NaN,18.36710921,0
S13,SAI,FM,fast,standardres,dorsal,52,48.1,6.7,52,49.1,44.2,NaN,17.69651459,0
S13,SAI,FM,fast,standardres,ventral,52,48.1,6.7,52,49.1,44.2,NaN,16.98487142,0
S13,SAI,FM,slow,standardres,dorsal,52,48.1,6.7,52,49.1,44.2,NaN,18.8753438,0
S13,SAI,FM,slow,standardres,ventral,52,48.1,6.7,52,49.1,44.2,NaN,18.55769924,0
S14,SAI,FM,fast,standardres,ventral,47.3,42.5,5.7,47.3,43.5,39.4,NaN,17.58365231,0
S14,SAI,FM,slow,standardres,ventral,47.3,42.5,5.7,47.3,43.5,39.4,NaN,18.84769797,0
S15,SAI,FM,fast,standardres,ventral,49.7,44.6,5.9,49.7,45.8,41.4,NaN,17.4798768,0
S15,SAI,FM,slow,standardres,ventral,49.7,44.6,5.9,49.7,45.8,41.4,NaN,19.2286587,0
S16,SAI,FM,fast,standardres,ventral,52.2,46.5,7.1,52.2,48.1,43.7,NaN,17.20802318,0
S16,SAI,FM,slow,standardres,ventral,52.2,46.5,7.1,52.2,48.1,43.7,NaN,18.00009733,0
S17,SAI,FM,fast,standardres,dorsal,45.3,41,5.4,45.3,42,37.9,NaN,18.26296973,0
S17,SAI,FM,fast,standardres,ventral,45.3,41,5.4,45.3,42,37.9,NaN,17.08890927,0
S17,SAI,FM,slow,standardres,dorsal,45.3,41,5.4,45.3,42,37.9,NaN,18.81187594,0
S17,SAI,FM,slow,standardres,ventral,45.3,41,5.4,45.3,42,37.9,NaN,18.33192011,0
S18,SAI,FM,fast,standardres,dorsal,40.1,36.3,4.7,40.1,37.3,33.7,NaN,17.67492236,0
S18,SAI,FM,fast,standardres,ventral,40.1,36.3,4.7,40.1,37.3,33.7,NaN,17.34084357,0
S18,SAI,FM,slow,standardres,dorsal,40.1,36.3,4.7,40.1,37.3,33.7,NaN,19.42295763,0
S18,SAI,FM,slow,standardres,ventral,40.1,36.3,4.7,40.1,37.3,33.7,NaN,19.37634555,0
S19,SAI,FM,fast,standardres,dorsal,40.7,36.2,4.5,40.7,37.3,33.5,NaN,18.31745002,0
S19,SAI,FM,fast,standardres,ventral,40.7,36.2,4.5,40.7,37.3,33.5,NaN,18.01391625,0
S19,SAI,FM,slow,standardres,dorsal,40.7,36.2,4.5,40.7,37.3,33.5,NaN,20.31439016,0
S19,SAI,FM,slow,standardres,ventral,40.7,36.2,4.5,40.7,37.3,33.5,NaN,20.27552041,0
S20,SAI,FM,fast,standardres,ventral,40.2,36,5,40.2,37,33.4,NaN,17.23434308,0
S20,SAI,FM,slow,standardres,ventral,40.2,36,5,40.2,37,33.4,NaN,18.1763348,0
S21,SAI,FM,fast,standardres,ventral,50.7,45.7,5.8,50.7,47,42.5,NaN,17.01988482,0
S21,SAI,FM,slow,standardres,ventral,50.7,45.7,5.8,50.7,47,42.5,NaN,17.98563105,0
S22,SAI,FM,fast,standardres,ventral,39.7,35.7,5.1,39.7,36.7,33,NaN,17.6878831,0
S22,SAI,FM,slow,standardres,ventral,39.7,35.7,5.1,39.7,36.7,33,NaN,19.51363178,0
S23,SAI,FM,fast,standardres,dorsal,29.9,27.1,3.1,29.9,27.9,25,NaN,18.20785393,0
S23,SAI,FM,fast,standardres,ventral,29.9,27.1,3.1,29.9,27.9,25,NaN,17.03721678,0
S23,SAI,FM,slow,standardres,dorsal,29.9,27.1,3.1,29.9,27.9,25,NaN,19.98922131,0
S23,SAI,FM,slow,standardres,ventral,29.9,27.1,3.1,29.9,27.9,25,NaN,18.68713689,0
S24,SAI,FM,fast,standardres,ventral,52.5,47.4,6.8,52.5,48.7,44.1,NaN,18.08694739,0
S24,SAI,FM,slow,standardres,ventral,52.5,47.4,6.8,52.5,48.7,44.1,NaN,20.15710486,0
S25,SAI,FM,fast,standardres,ventral,28,25.2,3.5,28,25.8,23.2,NaN,17.0854774,0
S25,SAI,FM,slow,standardres,ventral,28,25.2,3.5,28,25.8,23.2,NaN,18.62036497,0
S26,SAI,FM,fast,standardres,ventral,50.5,46.1,6.9,50.5,47.2,42.8,NaN,18.52305699,0
S26,SAI,FM,slow,standardres,ventral,50.5,46.1,6.9,50.5,47.2,42.8,NaN,21.08958329,0
S27,SAI,FM,fast,standardres,ventral,37.2,33,4.8,37.2,34,30.2,NaN,19.46118541,0
S27,SAI,FM,slow,standardres,ventral,37.2,33,4.8,37.2,34,30.2,NaN,21.77566777,0
